Sexo de la victima,Grupo de edad de la victima,Zona del Hecho,Escenario del Hecho,Mes del hecho,Dia del hecho,Rango de Hora del Hecho X 3 Horas,Departamento del hecho DANE,Mecanismo Causal,Diagnostico Topográfico de la Lesión,Presunto Agresor,Pertenencia Grupal,Escolaridad,Ancestro Racial
Hombre,(35 a 39),Cabecera municipal,sin información,Junio,Sábado,Sin información,Atlántico,Corto punzante,Trauma de abdomen,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Junio,Domingo,00:00 a 02:59,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Junio,Domingo,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Julio,Miércoles,15:00 a 17:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(45 a 49),Cabecera municipal,vivienda,Julio,Jueves,00:00 a 02:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Mujer,(55 a 59),Cabecera municipal,vivienda,Julio,Viernes,12:00 a 14:59,Atlántico,Proyectil de arma de fuego,Trauma de abdomen,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Julio,Viernes,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Negro
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Domingo,09:00 a 11:59,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vivienda,Julio,Martes,00:00 a 02:59,Atlántico,Corto punzante,Trauma de Tórax,Compañero (a) de trabajo,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Junio,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de abdomen,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(40 a 44),Cabecera municipal,vivienda,Julio,Miércoles,09:00 a 11:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(35 a 39),Cabecera municipal,vivienda,Julio,Miércoles,09:00 a 11:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Policía,Ninguno,Sin información,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Jueves,00:00 a 02:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(18 a 19),Cabecera municipal,vivienda,Julio,Sábado,18:00 a 20:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Julio,Sábado,18:00 a 20:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Negro
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Domingo,00:00 a 02:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Miércoles,00:00 a 02:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Julio,Martes,18:00 a 20:59,Atlántico,Corto punzante,Trauma de cuello,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Miércoles,06:00 a 08:59,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(45 a 49),Cabecera municipal,vivienda,Julio,Miércoles,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Julio,Martes,18:00 a 20:59,Atlántico,Corto punzante,Trauma de abdomen,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Julio,Jueves,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Sin escolaridad,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Jueves,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,otros,Julio,Miércoles,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación técnica profesional y tecnológica,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Julio,Viernes,12:00 a 14:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,"establecimiento comercial (tienda, centro comercial, almacén, plaza de mercado)",Julio,Sábado,12:00 a 14:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Julio,Jueves,06:00 a 08:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Jueves,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Policía,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Julio,Jueves,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Julio,Viernes,15:00 a 17:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación inicial y educación preescolar,Mestizo
Hombre,(55 a 59),Cabecera municipal,vía pública,Julio,Sábado,09:00 a 11:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Julio,Domingo,00:00 a 02:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Julio,Domingo,06:00 a 08:59,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Julio,Domingo,18:00 a 20:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Julio,Sábado,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Julio,Sábado,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,vivienda,Julio,Domingo,18:00 a 20:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,vivienda,Agosto,Jueves,Sin información,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Sector social LGBTI (OSIGD),Educación media o secundaria alta,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Agosto,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica secundaria o secundaria baja,Negro
Hombre,(20 a 24),Cabecera municipal,vía pública,Agosto,Sábado,Sin información,Atlántico,Contundente,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Julio,Viernes,15:00 a 17:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(15 a 17),Cabecera municipal,vivienda,Agosto,Sábado,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Agosto,Lunes,Sin información,Atlántico,Contundente,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Agosto,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(45 a 49),Cabecera municipal,vivienda,Agosto,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Agosto,Martes,Sin información,Atlántico,Corto contundente,Politraumatismo,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Agosto,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,otros,Agosto,Miércoles,Sin información,Atlántico,Corto punzante,Trauma de abdomen,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Agosto,Jueves,Sin información,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Mujer,(55 a 59),Parte rural (vereda y campo),vivienda,Julio,Miércoles,12:00 a 14:59,Magdalena,Contundente,Trauma de Tórax,Hijo (a),Ninguno,Sin información,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Agosto,Sábado,Sin información,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Agosto,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Reciclador,Educación básica primaria,Mestizo
Mujer,(35 a 39),Cabecera municipal,vivienda,Agosto,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,áreas deportivas y/o recreativas,Agosto,Domingo,Sin información,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación técnica profesional y tecnológica,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Agosto,Martes,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Persona bajo custodia,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Agosto,Miércoles,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(80 y más),Cabecera municipal,terreno baldío,Agosto,Viernes,Sin información,Atlántico,Eléctrico,Trauma de cuello,Hijo (a),Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,sin información,Agosto,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Agosto,Sábado,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Personal de custodia,Persona bajo custodia,Educación técnica profesional y tecnológica,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Agosto,Sábado,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(35 a 39),Cabecera municipal,vía pública,Agosto,Sábado,Sin información,Bolívar,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Agosto,Sábado,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Agosto,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Agosto,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Agosto,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Negro
Hombre,(30 a 34),Cabecera municipal,vía pública,Agosto,Lunes,Sin información,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Agosto,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Sin escolaridad,Mestizo
Hombre,(50 a 54),Cabecera municipal,vía pública,Agosto,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de cuello,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Sin información
Hombre,(30 a 34),Cabecera municipal,vía pública,Agosto,Martes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de cuello,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Agosto,Miércoles,Sin información,Magdalena,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(35 a 39),Cabecera municipal,vivienda,Agosto,Jueves,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vivienda,Agosto,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Agosto,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Agosto,Jueves,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(45 a 49),Cabecera municipal,vía pública,Agosto,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Parte rural (vereda y campo),vivienda,Agosto,Domingo,12:00 a 14:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Agosto,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Agosto,Martes,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación técnica profesional y tecnológica,Mestizo
Hombre,(50 a 54),Cabecera municipal,vía pública,Agosto,Jueves,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vivienda,Agosto,Jueves,15:00 a 17:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,Atlántico,Corto punzante,Trauma de cuello,Agresor desconocido,Ninguno,Sin información,Sin información
Hombre,(60 a 64),Cabecera municipal,sin información,Julio,Viernes,Sin información,Atlántico,Contundente,Trauma craneano,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(25 a 29),Cabecera municipal,"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Septiembre,Lunes,Sin información,Bolívar,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Persona en situación de calle,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Septiembre,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de abdomen,Agresor desconocido,Ninguno,Educación técnica profesional y tecnológica,Mestizo
Mujer,(65 a 69),Cabecera municipal,vivienda,Septiembre,Martes,Sin información,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Jueves,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Mujer,(35 a 39),Cabecera municipal,vía pública,Septiembre,Sábado,Sin información,Atlántico,Proyectil de arma de fuego,Trauma facial,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(35 a 39),Cabecera municipal,vivienda,Septiembre,Sábado,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Sin información
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Corto punzante,Trauma de miembros,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Agosto,Sábado,09:00 a 11:59,Magdalena,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Septiembre,Martes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Sin información
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Miércoles,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Policía,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Septiembre,Jueves,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de abdomen,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Otro,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(45 a 49),Cabecera municipal,vivienda,Septiembre,Lunes,Sin información,Magdalena,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Sin información
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Miércoles,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Persona en condición de desplazamiento,Educación básica primaria,Mestizo
Hombre,(45 a 49),Cabecera municipal,"establecimiento comercial (tienda, centro comercial, almacén, plaza de mercado)",Septiembre,Miércoles,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Septiembre,Jueves,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Agosto,Domingo,Sin información,Atlántico,Contundente,Politraumatismo,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación inicial y educación preescolar,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Septiembre,Viernes,Sin información,Atlántico,Corto contundente,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Viernes,Sin información,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación técnica profesional y tecnológica,Sin información
Hombre,(30 a 34),Cabecera municipal,vía pública,Septiembre,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de abdomen,Policía,Otro,Educación básica primaria,Mestizo
Hombre,(55 a 59),Cabecera municipal,vivienda,Septiembre,Domingo,Sin información,Atlántico,Contundente,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Corto punzante,Trauma de abdomen,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Sin información
Hombre,(35 a 39),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(18 a 19),Cabecera municipal,sin información,Septiembre,Sábado,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Sin información
Hombre,(20 a 24),Cabecera municipal,vivienda,Septiembre,Martes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vivienda,Septiembre,Miércoles,Sin información,Magdalena,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(55 a 59),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,Magdalena,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Sin escolaridad,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(35 a 39),Cabecera municipal,vivienda,Septiembre,Lunes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Sin escolaridad,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Octubre,Martes,12:00 a 14:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Octubre,Martes,Sin información,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Octubre,Miércoles,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Octubre,Jueves,Sin información,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Mujer,(25 a 29),Cabecera municipal,"lugares de hospedaje (hoteles, campamentos y otros tipos de hospedaje no permanente, moteles, etc.)",Octubre,Sábado,21:00 a 23:59,Atlántico,Generadores de asfixia,Trauma de cuello,Compañero (a) permanente,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Octubre,Lunes,15:00 a 17:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Octubre,Miércoles,18:00 a 20:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(40 a 44),Cabecera municipal,"establecimiento comercial (tienda, centro comercial, almacén, plaza de mercado)",Octubre,Jueves,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Octubre,Domingo,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Octubre,Domingo,03:00 a 05:59,Atlántico,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Sin información,Sin información
